After	O
fifth	O
week	O
of	O
misery	O
,	O
found	O
this	O
site	O
and	O
immediately	O
stopped	O
taking	O
Lipitor	B-Drug
.	O

Waiting	O
for	O
improvement	O
.	O

The	O
most	O
terrible	O
muscle	B-Disease
spasms	I-Disease
in	O
legs	O
,	O
back	O
and	O
chest	O
,	O
so	O
bad	O
I	O
could	O
not	O
sit	O
or	O
stand	O
.	O

Nausea	B-Disease
,	O
vomiting	B-Disease
,	O
chest	B-Disease
pain	I-Disease
,	O
blood	B-Disease
in	I-Disease
urine	I-Disease
,	O
side	O
effects	O
were	O
so	O
bad	O
I	O
ended	O
up	O
in	O
the	O
emergency	O
room	O
on	O
two	O
occasions	O
.	O

The	O
last	O
time	O
I	O
was	O
on	O
vacation	O
and	O
was	O
brought	O
to	O
the	O
hospital	O
where	O
the	O
Doctor	O
took	O
a	O
blood	O
and	O
urine	O
test	O
and	O
told	O
me	O
that	O
the	O
pain	B-Disease
was	O
from	O
the	O
lipitor	B-Drug
.	O

Never	O
take	O
this	O
horrible	O
drug	O
,	O
I	O
don	O
'	O
t	O
know	O
if	O
it	O
has	O
caused	O
permanent	O
damage	O
.	O

but	O
the	O
side	O
effects	O
alone	O
will	O
make	O
you	O
get	O
off	O
the	O
drug	O
.	O

At	O
about	O
the	O
same	O
time	O
as	O
I	O
started	O
taking	O
lipitor	B-Drug
I	O
began	O
experiencing	O
chest	B-Disease
muscle	I-Disease
soreness	I-Disease
and	O
spazms	B-Disease
which	O
have	O
persisted	O
.	O

I	O
now	O
take	O
neurontin	B-Drug
,	O
an	O
anti	O
-	O
seizure	O
drug	O
together	O
with	O
pain	O
killers	O
to	O
deal	O
with	O
the	O
muscle	B-Disease
problems	I-Disease
.	O

I	O
have	O
had	O
three	O
blood	O
tests	O
over	O
time	O
which	O
indicate	O
that	O
the	O
lipitor	B-Drug
is	O
not	O
damaging	O
the	O
muscles	O
.	O

I	O
remain	O
suspicious	O
that	O
lipitor	B-Drug
is	O
contributing	O
to	O
my	O
muscle	B-Disease
problems	I-Disease
(	O
physiotherpist	O
say	O
there	O
is	O
other	O
causes	O
)	O
but	O
there	O
is	O
no	O
denying	O
that	O
my	O
cholesterol	O
levels	O
have	O
been	O
improved	O
(	O
they	O
never	O
were	O
that	O
bad	O
).	O

pain	B-Disease
in	I-Disease
shoulder	I-Disease
and	O
arm	O
,	O
could	B-Disease
not	I-Disease
lift	I-Disease
arm	I-Disease
and	O
had	O
only	O
been	O
taking	O
for	O
2	O
weeks	O
.	O

Could	O
not	O
sleep	O
because	O
of	O
pain	B-Disease
!.	O

Don	O
'	O
t	O
recommend	O
at	O
all	O
.	O

I	O
recommend	O
omega	B-Drug
3	I-Drug
and	O
coq10	B-Drug
.	O

cholesterol	O
levels	O
went	O
down	O
100	O
points	O
with	O
that	O
alone	O
.	O

finally	O
4	O
months	O
later	O
my	O
pain	B-Disease
has	O
subsided	O
.	O

Muscle	B-Disease
weakness	I-Disease
and	O
extreme	B-Disease
pain	I-Disease
,	O
nausea	B-Disease
,	O
diarrhea	B-Disease
,	O
dark	O
urine	O
,	O
dizziness	B-Disease
.	O

I	O
have	O
been	O
off	O
of	O
it	O
for	O
4	O
days	O
and	O
can	B-Disease
barely	I-Disease
walk	I-Disease
.	O

I	O
hope	O
that	O
this	O
is	O
not	O
permanent	O
.	O

I	O
thought	O
that	O
I	O
had	O
the	O
flu	B-Disease
bug	I-Disease
tht	O
was	O
going	O
around	O
the	O
neighborhood	O
.	O

I	O
had	O
taken	O
pravochol	B-Drug
for	O
years	O
with	O
not	O
side	O
effects	O
,	O
but	O
wasn	O
'	O
t	O
lowering	O
my	O
cholesterol	O
enough	O
.	O

For	O
some	O
reason	O
the	O
doctor	O
started	O
me	O
on	O
40	O
mg	O
/	O
day	O
after	O
years	O
of	O
unsatisfactory	O
results	O
with	O
provachol	B-Drug
.	O

Flu	B-Disease
like	I-Disease
synptoms	I-Disease
started	O
immediately	O
-	O
then	O
numbness	B-Disease
in	I-Disease
my	I-Disease
shoulder	I-Disease
,	O
gas	B-Disease
,	O
headaches	B-Disease
,	O
diarhhea	B-Disease
,	O
dark	B-Disease
urine	I-Disease
them	O
debilitating	O
joint	O
and	O
muscle	B-Disease
pain	I-Disease
.	O

I	O
can	B-Disease
barely	I-Disease
walk	I-Disease
-	O
took	O
for	O
only	O
10	O
days	O
.	O

Have	O
been	O
off	O
for	O
4	O
days	O
with	O
no	O
improvement	O
-	O
I	O
am	O
terrified	O
.	O

Went	O
to	O
the	O
doctor	O
and	O
he	O
did	O
no	O
additional	O
tests	O
-	O
just	O
said	O
to	O
stay	O
off	O
lipitor	B-Drug
.	O

When	O
I	O
asked	O
if	O
I	O
would	O
feel	O
better	O
-	O
he	O
just	O
said	O
he	O
hoped	O
so	O
-	O
what	O
is	O
that	O
supposed	O
to	O
mean	O
??	O

Has	O
anyone	O
had	O
any	O
advice	O
from	O
their	O
doctor	O
on	O
how	O
to	O
reverse	O
these	O
effects	O
?.	O

I	O
WOULD	O
NOT	O
TAKE	O
THIS	O
MEDICINE	O
-	O
WOULD	O
RATHER	O
DIE	O
OF	O
HEART	B-Disease
ATTACK	I-Disease
THAN	O
FEEL	O
LIKE	O
THIS	O
FOR	O
THE	O
REST	O
OF	O
MY	O
LIFE	O
.	O

My	O
mom	O
is	O
taking	O
lipitor	B-Drug
10mg	O
.	O

SHE	O
is	O
71	O
years	O
old	O
was	O
a	O
active	O
lady	O
.	O

She	O
would	O
walk	O
and	O
exercise	O
daily	O
.	O

After	O
takeing	O
this	O
medication	O
she	O
is	O
now	O
walking	B-Disease
with	I-Disease
a	I-Disease
cane	I-Disease
.	O

And	O
has	O
server	B-Disease
pain	I-Disease
all	O
over	O
her	O
body	O
.	O

HORRIBLE	B-Disease
muscle	I-Disease
pains	I-Disease
,	O
horrible	B-Disease
back	I-Disease
spasms	I-Disease
,	O
spasms	B-Disease
in	I-Disease
leg	I-Disease
muscles	I-Disease
,	O
nausea	B-Disease
,	O
vomiting	B-Disease
,	O
pain	B-Disease
so	O
bad	O
that	O
I	O
could	B-Disease
hardly	I-Disease
walk	I-Disease
or	I-Disease
sit	I-Disease
.	O

chest	B-Disease
pains	I-Disease
,	O
so	O
bad	O
that	O
I	O
ended	O
up	O
in	O
the	O
emergency	O
room	O
2x	O
not	O
knowing	O
what	O
it	O
was	O
from	O
.	O

One	O
Doctor	O
finally	O
took	O
a	O
blood	O
test	O
and	O
told	O
me	O
it	O
was	O
from	O
the	O
lipitor	B-Drug
.	O

NEVER	O
NEVER	O
TAKE	O
THIS	O
DRUG	O
.	O

I	O
am	O
hoping	O
that	O
I	O
did	O
not	O
hurt	O
myself	O
permanently	O
by	O
taking	O
it	O
.	O

don	O
'	O
t	O
know	O
what	O
to	O
do	O
to	O
find	O
out	O
.	O

Terrible	B-Disease
short	I-Disease
term	I-Disease
memory	I-Disease
problems	I-Disease
,	O
lack	B-Disease
of	I-Disease
motivation	I-Disease
,	O
weak	B-Disease
and	I-Disease
wobbly	I-Disease
unbalanced	I-Disease
feeling	O
(	O
walked	B-Disease
like	I-Disease
a	I-Disease
90	I-Disease
year	I-Disease
old	I-Disease
),	O
not	B-Disease
sure	I-Disease
footed	I-Disease
as	I-Disease
I	I-Disease
walked	I-Disease
,	O
overall	B-Disease
weak	I-Disease
feeling	I-Disease
,	O
difficulty	O
driving	O
due	O
to	O
muscle	B-Disease
function	I-Disease
irregularities	I-Disease
,	O
tightness	B-Disease
in	I-Disease
throat	I-Disease
with	I-Disease
occasional	I-Disease
choking	I-Disease
problem	I-Disease
,	O
lightheaded	B-Disease
foggy	I-Disease
brain	I-Disease
(	I-Disease
like	I-Disease
being	I-Disease
in	I-Disease
a	I-Disease
stupor	I-Disease
)	I-Disease
,	O
loss	B-Disease
of	I-Disease
endurance	I-Disease
,	O
heavy	B-Disease
legs	I-Disease
and	I-Disease
arms	I-Disease
,	O
eye	B-Disease
muscle	I-Disease
spasms	I-Disease
,	O
dizziness	B-Disease
(	O
vertigo	B-Disease
),	O
lousy	B-Disease
sleeping	I-Disease
at	I-Disease
night	I-Disease
,	O
terrible	B-Disease
concentration	I-Disease
,	O
bad	B-Disease
dreams	I-Disease
nightly	I-Disease
,	O
foot	B-Disease
and	I-Disease
leg	I-Disease
cramps	I-Disease
especially	O
at	O
night	O
in	O
bed	O
,	O
always	B-Disease
exhausted	I-Disease
,	O
hip	B-Disease
joint	I-Disease
pain	I-Disease
,	O
muscular	B-Disease
aches	I-Disease
,	O
swallowing	B-Disease
problems	I-Disease
,	O
hard	B-Disease
to	I-Disease
get	I-Disease
out	I-Disease
of	I-Disease
bed	I-Disease
in	I-Disease
the	I-Disease
morning	I-Disease
,	O
constant	B-Disease
muscle	I-Disease
tension	I-Disease
in	I-Disease
legs	I-Disease
(	O
inflexibility	B-Disease
),	O
sadness	B-Disease
,	O
mood	B-Disease
swings	I-Disease
,	O
loss	B-Disease
of	I-Disease
muscle	I-Disease
mass	I-Disease
in	I-Disease
chest	I-Disease
and	O
arms	O
.	O

I	O
took	O
10	O
mg	O
/	O
day	O
of	O
Lipitor	B-Drug
for	O
6	O
years	O
.	O

It	O
worked	O
perfectly	O
and	O
made	O
my	O
blood	O
test	O
numbers	O
for	O
cholesterol	O
,	O
HDL	O
/	O
LDL	O
and	O
Triglycerides	O
look	O
textbook	O
perfect	O
.	O

A	O
few	O
of	O
the	O
symptoms	O
I	O
listed	O
(	O
mostly	O
muscular	O
)	O
quickly	O
appeared	O
when	O
I	O
began	O
the	O
Lipitor	B-Drug
and	O
became	O
slowly	O
more	O
intense	O
and	O
more	O
of	O
them	O
came	O
into	O
the	O
picture	O
as	O
each	O
year	O
passed	O
.	O

I	O
stopped	O
the	O
Lipitor	B-Drug
recently	O
out	O
of	O
desperation	O
and	O
most	O
all	O
symptoms	O
improved	O
greatly	O
within	O
days	O
of	O
stopping	O
.	O

I	O
do	O
not	O
plan	O
to	O
resume	O
it	O
and	O
will	O
find	O
some	O
other	O
way	O
to	O
control	O
things	O
.	O

The	O
drug	O
was	O
fine	O
but	O
I	O
resent	O
the	O
rediculous	O
high	O
price	O
.	O

I	O
have	O
switched	O
to	O
generic	O
simvastatin	B-Drug
and	O
am	O
actively	O
encouraging	O
others	O
on	O
Lipitor	B-Drug
to	O
consider	O
switching	O
.	O

I	O
also	O
resent	O
the	O
direct	O
to	O
consumer	O
advertising	O
of	O
Pfizer	O
as	O
well	O
as	O
many	O
other	O
drug	O
companies	O
.	O

extreme	O
disabling	O
vertigo	B-Disease
,	O
loss	B-Disease
of	I-Disease
support	I-Disease
in	I-Disease
all	I-Disease
muscels	I-Disease
in	I-Disease
particular	I-Disease
calf	I-Disease
and	I-Disease
leg	I-Disease
,	O
excruciatig	B-Disease
pain	I-Disease
if	O
try	O
to	O
use	O
muscels	O
confined	O
to	O
bed	O
for	O
2	O
weeks	O
unable	O
to	O
leave	O
,	O
loss	B-Disease
of	I-Disease
sex	I-Disease
drive	I-Disease
,	O
hair	O
,	O
memory	B-Disease
loss	I-Disease
,	O
extreme	B-Disease
fatigue	I-Disease
no	O
mater	O
how	O
much	O
i	O
slept	O
,	O
partial	B-Disease
tempoary	I-Disease
loss	I-Disease
of	I-Disease
sight	I-Disease
one	I-Disease
eye	I-Disease
,	O
hardest	B-Disease
on	I-Disease
legs	I-Disease
,	O
calfs	O
,	O
and	O
to	O
lesser	O
extent	O
sholders	O
.	O

for	O
me	O
it	O
was	O
a	O
posion	O
,	O
dr	O
did	O
not	O
follow	O
phizer	O
advise	O
,	O
should	O
have	O
taken	O
me	O
off	O
drug	O
